DIC_ROCK_MERGIN,CATEGORY_MERGIN,RCS_TRANSLATION_CAPS,RCS_DESCRITPION,RCS_TRANSLATION_LOWERCASE,RCS_code,DigMap_All,ALL-COUNT,ROCK_HIERARCHY,Composite,RANK01_DESC,RANK02_CODE,RANK02_DESC,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,IGNEOUS ROCK,Igneous rock,Igneous rock,IGRU,145,2948,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,IGRU,IGNEOUS ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,"IGNEOUS-ROCK, MAFIC","Igneous-rock, mafic",Mafic igneous-rock,MFIR,254,278,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,INTRUSION-BRECCIA,"Intrusion-breccia - An intrusive fragmental igneous rock. British Geological Survey Research Report RR/99/06, section 8.2.",Intrusion-breccia,IBREC,47,65,MAIN,SINGLE,SEDIMENT AND SEDIMENTARY ROCK,+*SSSR,SILICICLASTIC SEDIMENTS AND SEDIMENTARY ROCKS,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,IRONSTONE,"Ironstone - In the Rock Classification Scheme, all lithified iron-rich sedimentary rocks are given this group name. This is the lithified equivalent of iron-sediment. The textural classification of ironstones follows that for limestone. The classification of ironstones composed dominantly of one constituent similarly follows that for limestone. British Geological Survey Research Report RR/99/03, section 5.2 and fig. 9.",Ironstone,FEST,253,27836,MAIN,SINGLE,SEDIMENT AND SEDIMENTARY ROCK,+*ISSR,IRON-SEDIMENTS AND IRONSTONES,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,LAMPROPHYRES,"Lamprophyre - A type of exotic crystalline igneous rock. Lamprophyres are mesocratic to melanocratic igneous rocks, usually hypabyssal, with a panidiomorphic texture and abundant mafic phenocrysts of dark mica (biotite or Fe-phlogopite) and/or amphibole, with or without pyroxene, with or without olivine, and sometimes melilite, set in a matrix of the same minerals. Any feldspar, usually alkali feldspar, is restricted to the groundmass. British Geological Survey Research Report RR/99/06, section 6.7.",Lamprophyre,LMPY,6251,6315,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS-VOLCANIC ROCK,LAPILLISTONE,"Lapillistone - A type of pyroclastic-rock. In the Rock Classification Scheme, it is a pyroclastic-rock in which the average size of more than 75% of the pyroclastic fragments is less than 64 mm. Lapillistone, lapilli-tuff, and tuff are separated according to the relative proportion of lapilli-grade (2 - 64 mm) and ash-grade (<2 mm) fragments: if more than 75% of the fragments are lapilli the rock is lapillistone. It is the consolidated equivalent of lapilli-tephra. British Geological Survey Research Report RR/99/06, section 4.2 and fig. 4.",Lapillistone,LPST,0,2,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,+~FIS,FRAGMENTAL IGNEOUS ROCK AND FRAGMENTAL IGNEOUS SEDIMENT,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS-VOLCANIC ROCK,LAPILLI-TUFF,"Lapilli-tuff - A type of pyroclastic-rock. In the Rock Classification Scheme, it is a pyroclastic-rock in which the average size of more than 75% of the pyroclastic fragments is less than 64 mm. Lapillistone, lapilli-tuff, and tuff are separated according to the relative proportion of lapilli-grade (2 - 64 mm) and ash-grade (<2 mm) fragments: if between 25% and 75% of the fragments are lapilli the rock is lapilli-tuff. It is the consolidated equivalent of lapilli-ash. British Geological Survey Research Report RR/99/06, section 4.2 and fig. 4.",Lapilli-tuff,LPTUF,1113,1263,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,+~FIS,FRAGMENTAL IGNEOUS ROCK AND FRAGMENTAL IGNEOUS SEDIMENT,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS-VOLCANIC ROCK,"LAPILLI-TUFF, ANDESITIC","Lapilli-tuff, andesitic",Andesitic lapilli-tuff,ANLTUF,680,690,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,+~FIS,FRAGMENTAL IGNEOUS ROCK AND FRAGMENTAL IGNEOUS SEDIMENT,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS-VOLCANIC ROCK,"LAPILLI-TUFF, DACITIC","Lapilli-tuff, dacitic",Dacitic lapilli-tuff,DALTUF,1186,1199,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,+~FIS,FRAGMENTAL IGNEOUS ROCK AND FRAGMENTAL IGNEOUS SEDIMENT,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS-VOLCANIC ROCK,"LAPILLI-TUFF, RHYOLITIC","Lapilli-tuff, rhyolitic",Rhyolitic lapilli-tuff,RYLTUF,640,649,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,+~FIS,FRAGMENTAL IGNEOUS ROCK AND FRAGMENTAL IGNEOUS SEDIMENT,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,LAVA,Lava,Lava,LAVA,387,583,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,"LAVA, BASALTIC","Lava, basaltic",Basaltic lava,BCLAVA,1380,1392,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,MAFITE,"Mafite - A type of fine-grained normal crystalline rock. It is a general term used for dark-coloured aphanitic rocks. In the Rock Classification Scheme, the class includes andesitic-rock, basaltic-rock, phonolitic-rock, tephritic-rock and foiditic-rock. British Geological Survey Research Report RR/99/06, section 5.2 and fig. 17.",Mafite,MAFI,501,507,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,MICRODIORITE,"Microdiorite - A type of microdioritic-rock. In the Rock Classification Scheme, it is the medium-grained equivalent of diorite. British Geological Survey Research Report RR/99/06, section 5.1.",Microdiorite,MCDI,2699,2730,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,MICROGABBRO,"Microgabbro - A type of microgabbroic-rock. In the Rock Classification Scheme, it is the medium-grained equivalent of gabbro. British Geological Survey Research Report RR/99/06, section 5.1.",Microgabbro,MCGB,10545,10596,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,MICROGRANITE,"Microgranite - A type of microgranitic-rock. In the Rock Classification Scheme, it is the medium-grained equivalent of granite. Microgranite may be subdivided into microsyenogranite and micromonzogranite. British Geological Survey Research Report RR/99/06, section 5.1.",Microgranite,MCGN,1879,1930,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,MICROGRANODIORITE,"Microgranodiorite - A type of microgranitic-rock. In the Rock Classification Scheme, it is the medium-grained equivalent of granodiorite. British Geological Survey Research Report RR/99/06, section 5.1.",Microgranodiorite,MCGD,295,309,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,PEGMATITE,"Pegmatite - A type of coarse-grained normal crystalline rock. In the Rock Classification Scheme, the term pegmatite is used for veins comprised of coarse or very coarse crystals. The term is used with qualifiers to describe component minerals in increasing abundance, for example biotite-quartz-feldspar pegmatite. British Geological Survey Research Report RR/99/06, section 8.1.",Pegmatite,PEG,2107,2133,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS-VOLCANIC ROCK,PYROCLASTIC-ROCK,"Pyroclastic-rock - In the Rock Classification Scheme, pyroclastic-rock contains more than 75% by volume pyroclastic fragments. It is the consolidated equivalent of pyroclastic-sediment. British Geological Survey Research Report RR/99/06, section 4.2 and fig. 4.",Pyroclastic-rock,PYRR,799,869,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,+~FIS,FRAGMENTAL IGNEOUS ROCK AND FRAGMENTAL IGNEOUS SEDIMENT,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,RHYOLITE,"Rhyolite - A type of rhyolitic-rock. In the Rock Classification Scheme, this name is used for a fine-grained crystalline igneous rock when the modal mineralogy is available, and the mineral mode plots in field 3 of the quartz - alkali feldspar - plagioclase - feldspathoid (QAPF) diagram. It is the fine-grained equivalent of granite. British Geological Survey Research Report RR/99/06, section 5.2 and figs. 17a, 19.",Rhyolite,RY,1242,1350,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,SYENITE,"Syenite - A type of syenitic-rock. In the Rock Classification Scheme, it is a coarse-grained crystalline igneous rock whose mineral mode plots in field 7 of the quartz - alkali feldspar - plagioclase - feldspathoid (QAPF) diagram. British Geological Survey Research Report RR/99/06, section 5.1 and figs. 9, 11, 12.",Syenite,SY,20,23,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS-VOLCANIC ROCK,TEPHRA (PYROCLASTIC SEDIMENT),Tephra. Synonym: pyroclastic-sediment,Tephra,TPH,0,0,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,+~FIS,FRAGMENTAL IGNEOUS ROCK AND FRAGMENTAL IGNEOUS SEDIMENT,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,TONALITE,"Tonalite - A type of granitic-rock. In the Rock Classification Scheme, it is a coarse-grained crystalline igneous rock whose mineral mode plots in field 5 of the quartz - alkali feldspar - plagioclase - feldspathoid (QAPF) diagram. British Geological Survey Research Report RR/99/06, section 5.1 and figs. 9, 11, 12.",Tonalite,TO,48,73,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,TRACHYTE,"Trachyte - A type of trachytic-rock. In the Rock Classification Scheme, this name is used for a fine-grained crystalline igneous rock when the modal mineralogy is available, and the mineral mode plots in field 7 of the quartz - alkali feldspar - plagioclase - feldspathoid (QAPF) diagram. British Geological Survey Research Report RR/99/06, section 5.2 and figs. 17a, 19.",Trachyte,TR,1081,1158,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS-VOLCANIC ROCK,TUFF,"Tuff - A type of pyroclastic-rock. In the Rock Classification Scheme, it is a pyroclastic-rock in which the average size of more than 75% of the pyroclastic fragments is less than 64 mm. Lapillistone, lapilli-tuff, and tuff are separated according to the relative proportion of lapilli-grade (2 - 64 mm) and ash-grade (<2 mm) fragments: if less than 25% of the fragments are lapilli the rock is tuff. It is the consolidated equivalent of ash. British Geological Survey Research Report RR/99/06, section 4.2 and fig. 4.",Tuff,TUF,1718,3601,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,+~FIS,FRAGMENTAL IGNEOUS ROCK AND FRAGMENTAL IGNEOUS SEDIMENT,,,,,,,,,,,,,,,,,,,,,,,,
